race_id,year,round,event_name,circuit,race_date,driver_number,driver_abbreviation,team_name,total_laps,valid_laps,deleted_laps,invalid_laps,avg_lap_time,median_lap_time,best_lap_time,worst_lap_time,lap_time_range,pct_05_lap_time,pct_95_lap_time,lap_time_std,lap_time_cv,lap_time_iqr,seconds_off_best,lap_time_trend,tire_deg_per_lap,first_stint_avg,last_stint_avg,stint_delta,avg_sector1,avg_sector2,avg_sector3,best_sector1,best_sector2,best_sector3,avg_position,best_position,worst_position,position_changes,net_position_change,num_pit_stops,num_tire_stints,avg_stint_length,valid_lap_pct
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,31,#31,Alpine,50,36,2,14,95.60297222222222,95.262,93.103,99.9,6.797000000000011,93.357,98.2195,1.663770579756564,0.017402916887241215,2.356499999999997,2.499972222222226,-0.14115559845559938,-0.14115559845559938,97.15861538461537,94.72369565217392,-2.4349197324414575,35.42822857142857,30.374500000000005,29.70136111111112,34.166,29.708,29.161,8.08,5.0,11.0,12,-1.0,1,2,25.0,0.72
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,4,#4,McLaren,50,37,1,13,95.9090810810811,96.081,92.753,103.333,10.579999999999998,93.011,98.3734,2.1171706929870444,0.022074767781344897,2.8289999999999935,3.1560810810810978,-0.17435870080606905,-0.17435870080606905,97.74942857142857,94.7888695652174,-2.96055900621117,35.68755555555556,30.318729729729732,29.739594594594596,34.204,29.479,29.04,10.56,6.0,13.0,11,4.0,1,2,25.0,0.74
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,44,#44,Mercedes,50,38,0,12,96.0711052631579,95.2775,92.997,113.062,20.064999999999998,93.36550000000001,99.56984999999999,3.5516981152870675,0.03696947282492752,2.9525000000000006,3.0741052631579038,-0.10765422912791214,-0.10765422912791214,95.96774193548387,96.52885714285715,0.5611152073732768,36.04543243243243,30.178894736842107,29.674421052631583,34.264,29.561,29.14,9.1,6.0,14.0,11,4.0,1,2,25.0,0.76
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,55,#55,Ferrari,50,37,0,13,94.08240540540541,93.705,92.242,98.635,6.393000000000001,92.2708,95.589,1.3958069840191505,0.014836004436797232,2.1169999999999902,1.8404054054054058,-0.11586367946894076,-0.11586367946894076,95.3934,93.18854545454546,-2.2048545454545376,34.631499999999996,29.939810810810815,29.40648648648648,33.788,29.364,28.946,3.38,3.0,4.0,3,1.0,1,2,25.0,0.74
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,6,#6,Williams,15,13,1,2,98.89261538461541,98.161,97.53,106.377,8.846999999999994,97.5468,102.7242,2.3525737515347416,0.0237891751814335,0.4890000000000043,1.3626153846154097,-0.3295054945054943,-0.3295054945054943,98.89261538461538,98.89261538461538,0.0,36.820833333333326,31.136461538461536,30.381538461538465,36.446,30.932,30.122,17.285714285714285,15.0,18.0,4,2.0,0,1,15.0,0.8666666666666667
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,63,#63,Mercedes,50,38,0,12,94.81365789473683,94.23599999999999,92.821,100.421,7.6000000000000085,93.01939999999999,96.6033,1.5301042938542213,0.01613801563855874,2.0332499999999953,1.992657894736837,-0.12174493927125407,-0.12174493927125407,96.21000000000001,93.90299999999999,-2.3070000000000164,34.95891891891892,30.05552631578947,29.676999999999996,34.119,29.42,29.211,5.04,5.0,6.0,1,1.0,1,2,25.0,0.76
2022_R02,2022,2,saudi_arabian_grand_prix,Jeddah,2022-03-27 17:00:00,77,#77,Alfa Romeo,36,31,0,5,97.54254838709677,96.398,93.979,135.831,41.85199999999999,94.279,100.1035,7.2817449687040865,0.07465198612411215,1.9909999999999997,3.5635483870967732,0.1340983870967763,0.1340983870967763,97.1042,135.831,38.72679999999998,36.40553333333333,30.57467741935484,30.427967741935486,34.753,29.747,29.105,8.86111111111111,7.0,15.0,5,-7.0,2,3,12.0,0.8611111111111112
2022_R03,2022,3,australian_grand_prix,Melbourne,2022-04-10 05:00:00,1,#1,Red Bull Racing,39,29,0,10,84.60520689655173,83.78,81.677,99.466,17.788999999999987,82.38499999999999,89.83919999999999,3.4012542999322877,0.040201477245851554,1.5750000000000028,2.9282068965517283,-0.13169753694581057,-0.13169753694581057,85.96015384615384,83.5043125,-2.4558413461538464,29.298714285714286,18.439206896551728,36.67524137931035,28.416,18.142,35.119,2.4210526315789473,2.0,7.0,5,0.0,1,2,19.5,0.7435897435897436
2022_R03,2022,3,australian_grand_prix,Melbourne,2022-04-10 05:00:00,10,#10,AlphaTauri,58,47,0,11,85.43817021276595,84.809,82.731,100.851,18.120000000000005,83.20570000000001,89.30009999999999,3.1612868617972163,0.03700087272380354,1.9534999999999911,2.707170212765959,-0.11316362164662422,-0.11316362164662422,87.4033125,84.42390322580646,-2.979409274193543,29.657739130434784,18.62423404255319,36.966744680851065,28.695,18.379,35.513,10.827586206896552,8.0,15.0,10,0.0,1,2,29.0,0.8103448275862069
2022_R03,2022,3,australian_grand_prix,Melbourne,2022-04-10 05:00:00,11,#11,Red Bull Racing,58,47,0,11,83.98127659574469,83.115,81.094,99.099,18.00500000000001,81.7554,90.23259999999998,3.1723732626353742,0.03777476827252847,2.691500000000005,2.8872765957446944,-0.1284067992599438,-0.1284067992599438,86.2684,82.9091875,-3.359212499999998,29.138086956521736,18.319042553191487,36.37297872340426,28.214,17.981,34.899,3.293103448275862,2.0,7.0,9,2.0,1,2,29.0,0.8103448275862069
